Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2P0Si3pfikrrkpLLnrXaLR,"5SXuuuRpukkTvsLuUknva1,2YZyLoL8N0Wb9xBt1NhZWg","family ties (with Kendrick Lamar)","The Melodic Blue","Baby Keem,Kendrick Lamar",2021-09-22,252262,60,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,rap,conscious hip hop,west coast rap",0.711,0.611,1,-5.451,1,0.365,0.00582,0,0.23,0.143,134.111,4
3JFUEyfKdoCzAd2Gjj1dZZ,"1iwUuIOKYjV7SKIg27v4zi,3hcs9uc56yIGFCSy9leWe7","Keep Dissing 2 (with Lil Durk)","Public Housing","Real Boston Richey,Lil Durk",2022-08-26,173683,59,spotify:user:playstation_music,2022-09-16T21:07:40Z,"trap,chicago drill,chicago rap,drill,hip hop,rap",0.622,0.651,10,-5.735,0,0.253,0.0165,0,0.167,0.351,83.607,4
1a019wP7IdYLexwbmfZPm3,"3qiHUAX7zY4Qnjx8TNUzVx,4O15NlyKLIASxsJ0PrXPfz","Flawlëss (feat. Lil Uzi Vert)","Lyfë","Yeat,Lil Uzi Vert",2022-09-09,176124,80,spotify:user:playstation_music,2022-09-16T21:08:35Z,"pluggnb,melodic rap,philly rap,rap,trap",0.474,0.805,1,-5.997,1,0.332,0.0715,0,0.147,0.109,131.001,4
5cx2X3RlGDk6g4DkPq4NYw,"7rkW85dBwwrJtlHRDkJDAC,5f7VJjfbwm532GiveGC0ZK,0Y5tJX1MQlPlqiwlOH1tJY","Never Sleep (with Lil Baby feat. Travis Scott)","Demons Protected By Angels","NAV,Lil Baby,Travis Scott",2022-09-09,185785,70,spotify:user:playstation_music,2022-09-16T21:08:52Z,"canadian hip hop,canadian trap,hip hop,melodic rap,rap,toronto rap,trap,atl hip hop,atl trap,slap house",0.814,0.676,1,-5.602,1,0.153,0.00913,0,0.13,0.51,139.946,4
0g2Bbgy7P41pFjMWJuzsf4,"0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK","STAYING ALIVE (feat. Drake & Lil Baby)","STAYING ALIVE (feat. Drake & Lil Baby)","DJ Khaled,Drake,Lil Baby",2022-08-05,178176,82,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,miami hip hop,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap,atl hip hop,atl trap",0.718,0.461,4,-7.676,0,0.0797,0.068,0,0.283,0.181,129.953,4
2BSl2gSFHdzJAMus74qzNj,"4FlG0V0jhLO4qGpayFOphj,2LIk90788K0zvyj2JJVwkJ","Backstage Passes (feat. Jack Harlow)","I Never Felt Nun","EST Gee,Jack Harlow",2022-09-16,158431,77,spotify:user:playstation_music,2022-09-16T21:07:40Z,"kentucky hip hop,pop rap,rap,southern hip hop,trap,deep underground hip hop,pop",0.855,0.478,1,-8.31,1,0.345,0.145,0,0.101,0.536,153.074,4
5QdVpZhASstTN4BBwglPz6,"757aE44tKEUQEqRuT6GnEB,5QdEbQJ3ylBnc3gsIASAT5,6aLoJJxz7MV2iZ423S8tJC","Ghetto Superstar (feat. G Herbo & Doe Boy)","Ghetto Superstar (feat. G Herbo & Doe Boy)","Roddy Ricch,G Herbo,Doe Boy",2022-09-08,244853,74,spotify:user:playstation_music,2022-09-16T21:07:40Z,"melodic rap,rap,trap,chicago drill,chicago rap,drill,hip hop,southern hip hop,atl hip hop,atl trap,memphis hip hop,ohio hip hop,pop rap,vapor trap",0.704,0.62,9,-7.267,0,0.362,0.0686,0,0.144,0.383,157.093,4
3W9jnJBPYeihwNSXsr65f9,"6FAo7ORAHEzSSf5q10LLfN,22hWz22JAmIhIEp0u1X01L","NO SNITCHING (with Dusty Locane)","DOUBLE M'S","Lil Mabu,DUSTY LOCANE",2022-06-30,160000,81,spotify:user:playstation_music,2022-09-16T21:07:40Z,"new york drill",0.731,0.653,1,-8.767,1,0.348,0.0627,0,0.348,0.424,155.943,4
2TSfStvlAMLw89u3tali79,"0Njy6yR9LykNKYg9yE23QN","Dah Dah DahDah","Who is Nardo Wick?? (Deluxe)","Nardo Wick",2022-07-22,151776,82,spotify:user:playstation_music,2022-09-16T21:07:40Z,"florida rap,rap,trap",0.66,0.373,11,-10.234,1,0.595,0.149,0,0.106,0.35,167.912,4
5kYSScXYOZYyi0fxramiW6,"0QHgL1lAIqAw0HtD7YldmP,1RyvyyTE3xzB2ZywiAwp0i,7tYKF4w9nC0nq9CsPZTHyP","BEAUTIFUL (feat. Future & SZA)","GOD DID","DJ Khaled,Future,SZA",2022-08-26,223232,75,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,miami hip hop,pop rap,rap,southern hip hop,trap,atl hip hop,pop,r&b",0.489,0.55,6,-6.729,1,0.233,0.103,0,0.118,0.241,171.882,4
68Dni7IE4VyPkTOH9mRWHr,"6l3HvQ5sa6mXTsMTB19rO5","No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,88,spotify:user:playstation_music,2022-09-16T21:07:40Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
5RtOqP26S4KrWexNolBaQc,"0RESbWvOMyua0yuyVrztJ5","From Nothing","From Nothing","Key Glock",2022-08-17,169306,73,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,memphis hip hop,rap,southern hip hop,tennessee hip hop,trap",0.821,0.716,9,-6.514,1,0.301,0.0726,0,0.154,0.529,125.005,4
2d4XHh61JufZpNdm88TXXx,"0QHgL1lAIqAw0HtD7YldmP,0Njy6yR9LykNKYg9yE23QN,46SHBwWsqBkxI7EeeBEQG7","IT AIN'T SAFE (feat. Nardo Wick & Kodak Black)","GOD DID","DJ Khaled,Nardo Wick,Kodak Black",2022-08-26,170197,69,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,miami hip hop,pop rap,rap,southern hip hop,trap,florida rap,melodic rap",0.742,0.792,7,-4.291,1,0.322,0.00096,0,0.365,0.809,147.958,4
7nc7mlSdWYeFom84zZ8Wr8,"46HzS7yz0c9udVwtbHk1sx,5IbEL2xjRtKsunfmsahLuO","Tell Em","Tell Em","Cochise,$NOT",2021-05-28,180379,81,spotify:user:playstation_music,2022-09-16T21:07:40Z,"plugg,pluggnb,viral rap,aesthetic rap,florida rap,rap,underground hip hop",0.672,0.717,5,-7.476,1,0.226,0.103,0,0.398,0.473,157.905,4
58k32my5lKofeZRtIvBDg9,"5SXuuuRpukkTvsLuUknva1","HONEST","DIE FOR MY BITCH","Baby Keem",2019-07-19,172672,84,spotify:user:playstation_music,2022-09-16T21:07:40Z,"hip hop,rap",0.676,0.536,2,-8.79,1,0.0432,0.403,0.0000337,0.105,0.373,79.037,4
6nrPRHGdz1ytpX2ZBZ4RGU,"6MPCFvOQv5cIGfw3jODMF0,4Ga1P7PMIsmqEZqhYZQgDo","Falsetto (feat. Lil Tecca)","We All We Got","Internet Money,Lil Tecca",2022-08-19,135572,69,spotify:user:playstation_music,2022-09-16T21:07:40Z,"pop rap,rap,trap,melodic rap,pluggnb",0.763,0.687,6,-6.306,0,0.28,0.268,0,0.119,0.203,131.05,4
