,X,title,artist,year,lyrics,spotify_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,liveliness,pos,neg,neu,compound,num_words,num_lines,num_syllables,difficult_words,fog_index,flesch_index,f_k_grade
0,0,Love Yourself,Justin Bieber,2016,"Love Yourself Lyrics

For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness sake
You think I'm cryin' on my own, well I ain't

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that
Related Songs
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself151Embed",50kpGaPAhYJ3sGmk6vplg0,0,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,4,0,0,0.28,0.16,0.121,0.719,0.9868,85.7,-121.55,515,14,89.67,447,85.7
1,1,Sorry,Justin Bieber,2016,"Sorry Lyrics

You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice, I mean maybe a couple a hundred times
So let me, oh let me redeem, oh redeem, oh myself tonight
'Cause I just need one more shot at second chances
Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just trying to get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?99Embed",09CtPGIpYB4BrO8qb1RGsF,0,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4,0,0,0.299,0.136,0.151,0.713,0.9008,7.8,86.57,396,12,11.06,349,7.8
2,2,One Dance,Drake Featuring WizKid & Kyla,2016,,1zi7xx7UVEFkmKfv06H8x0,0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4,0,0,0.329,,,,,,,,,,,
3,3,Work,Rihanna Featuring Drake,2016,,72TFWvU3wUYdUuxejTTIzt,0,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320,4,0,0,0.0919,,,,,,,,,,,
4,4,Stressed Out,twenty one pilots,2016,"Stressed Out Lyrics
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told, when I get older, all my fears would shrink
But now I'm insecure, and I care what people think

My name's Blurryface and I care what you think
My name's Blurryface and I care what you think
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We're stressed out

Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's comin' from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, homegrown, a stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and treehouse homes, we all would take the latter

My-my-my name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah

Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah516Embed",3CRDbSIZ4r5MsZ0YwxuEkn,0,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4,0,0,0.0602,0.202,0.073,0.725,0.9979,50.2,-28.98,610,15,53.22,529,50.2
5,5,Panda,Desiigner,2016,"Panda Lyrics
You are now listening to the hottest producer with the hottest beats on the net, Menace
This what they all been waitin' for? I guess so
They been waitin’ for this shit for a long time, didn't they?
This what they all been waitin' for? I guess so
They been waitin’ for this shit for a long time, didn't they?
Ayy, I'm just feelin' my vibe right now
I'm feelin' myself

Panda, Panda
Panda, Panda, Panda, Panda, Panda
I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 look like a panda
Goin' out like I’m Montana
Hundred killas, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin’ bar, candy
Man, I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga, pull up ya panty
Hope you killas understand me
I got broads in Atlanta
Twistin’ dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 look like a panda
Goin' out like I'm Montana
Hundred killas, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin’ bar, candy
Man, I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga, pull up ya panty
Hope you killas understand me
Hey
Panda, Panda
Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda

I got broads in Atlanta
Twistin' dope, lean, and shit, sippin' Fanta
Credit cards and the scammers
Wake up Versace shit, life Desiigner
Whole bunch of lavish shit
They be askin' 'round town who be clappin' shit
I be pullin' up stuff in the Phantom ship
I got plenty of stuff in Bugatti whip, look how I drive this shit
Black X6, Phantom
White X6, killin' on camera
Pop a Perc, I can't stand up
Gorilla, they come and kill you with bananas
Four fellas, they finna pull up in the Phantom
Know niggas, they come and kill you on the camera
Big Rollie, it's dancin' bigger than a Pandie
Go Oscar for Grammy, bitch, pull up ya panty
Fill up, I'ma flip it, I got bitches pull up and they get it
I got niggas that's countin' for digits
Say you make you a lot of new money
Know some killers pull off and they in the Wraith
CTD, pull up in the killa Bape
Call up Phillip-Phillip, gon' fill the bank
Niggas up in the bank, we gon' drill the bank
Fuck, we gon' kill the bank, get it
I got broads, yeah, I get it
I get cards, yeah, I shitted
This how I live it, did it all for a ticket
Now Flex drop bombs when he spin it
And Bobby gon' trend it
Jeff The Don doin' business
Zana Ray fuckin' up shit and she doin' her business
I be gettin' to the chicken, countin' to the chicken
And all of my niggas gon' split it
Panda, Panda
Panda, Panda, Panda, Panda, Panda

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 look like a panda
Goin' out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man, I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga, pull up ya panty
Hope you killers understand me
I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 look like a panda
Goin' out like I’m Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man, I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga, pull up ya panty
Hope you killers understand me

Panda, Panda
Panda, Panda, Panda, Panda, Panda
383Embed",275a9yzwGB6ncAW4SxY7q3,0,0.685,0.731,10,-5.503,0,0.414,0.0292,0.0,0.369,0.266,145.245,247867,4,0,0,0.369,0.078,0.151,0.771,-0.9968,51.8,-38.56,861,45,53.6,667,51.8
6,6,Hello,Adele,2016,,62PaSfnXSMyLshYJrlTuL3,0,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,295502,4,0,0,0.0854,,,,,,,,,,,
7,7,Don't Let Me Down,The Chainsmokers Featuring Daya,2016,,40XeGNGFchGYw7y0ue1GiG,0,0.455,0.502,4,-7.539,1,0.0493,0.699,0.000156,0.094,0.674,163.347,209453,4,0,0,0.094,,,,,,,,,,,
8,9,Closer,The Chainsmokers Featuring Halsey,2016,,7BKLCZ1jbUBVqRi2FVlTVw,0,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4,0,0,0.111,,,,,,,,,,,
9,10,Cheap Thrills,Sia Featuring Sean Paul,2016,,3S4px9f4lceWdKf0gWciFu,0,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,0,0,0.0907,,,,,,,,,,,
